bin start	sense overlap	antisense overlap	total overlap
-1999	20885	19157	40042
-1899	18484	14562	33046
-1799	15987	16374	32361
-1699	16709	14381	31090
-1599	21464	13882	35346
-1499	18552	12877	31429
-1399	20670	16948	37618
-1299	18824	12140	30964
-1199	22750	15730	38480
-1099	16840	15599	32439
-999	19622	15643	35265
-899	18473	10612	29085
-799	18777	15190	33967
-699	25582	17170	42752
-599	18122	15021	33143
-499	19143	17832	36975
-399	19254	12279	31533
-299	17820	13022	30842
-199	25322	24182	49504
-99	28620	24494	53114
1	23372	18844	42216
101	26714	19310	46024
201	18549	12704	31253
301	21355	17258	38613
401	23147	22828	45975
501	26729	17494	44223
601	21088	18995	40083
701	22064	24724	46788
801	26821	20065	46886
901	21743	18891	40634
1001	26803	18555	45358
1101	28324	21063	49387
1201	20695	20350	41045
1301	21474	19546	41020
1401	16763	20656	37419
1501	16667	19756	36423
1601	17761	21271	39032
1701	21312	18717	40029
1801	21114	17451	38565
1901	17193	27133	44326
2001	20582	24282	44864
2101	18712	20892	39604
2201	19118	24006	43124
2301	18667	23106	41773
2401	18576	23183	41759
2501	18273	18239	36512
2601	18791	17476	36267
2701	19965	14734	34699
2801	19534	17429	36963
2901	14491	21013	35504
