bin start	sense overlap	antisense overlap	total overlap
-3000	19410	18876	38286
-2900	20667	28142	48809
-2800	25923	16204	42127
-2700	20611	18411	39022
-2600	18254	23180	41434
-2500	20520	22355	42875
-2400	23535	20522	44057
-2300	24153	28369	52522
-2200	20146	18701	38847
-2100	16756	23269	40025
-2000	24153	19684	43837
-1900	28394	24184	52578
-1800	25180	23336	48516
-1700	24889	18605	43494
-1600	24807	20311	45118
-1500	25352	34327	59679
-1400	22747	23383	46130
-1300	23848	23142	46990
-1200	30530	23088	53618
-1100	23155	23849	47004
-1000	31880	28798	60678
-900	21742	25187	46929
-800	27700	18353	46053
-700	21772	19933	41705
-600	30452	28859	59311
-500	30340	22118	52458
-400	25666	22524	48190
-300	22914	20331	43245
-200	23333	19808	43141
-100	26764	20353	47117
0	33480	20644	54124
100	23195	17924	41119
200	22584	21540	44124
300	16780	16109	32889
400	14209	12241	26450
500	14284	16713	30997
600	18963	16433	35396
700	20059	13696	33755
800	15385	14669	30054
900	13026	10878	23904
1000	14424	13571	27995
1100	16697	16386	33083
1200	22341	10367	32708
1300	18739	10048	28787
1400	26024	13389	39413
1500	21243	14096	35339
1600	23637	14356	37993
1700	16473	14628	31101
1800	16360	12590	28950
1900	17369	12144	29513
