bin start	sense overlap	antisense overlap	total overlap
-1999	23201	26836	50037
-1899	23662	20110	43772
-1799	29101	18865	47966
-1699	17106	15070	32176
-1599	19085	14542	33627
-1499	19207	21847	41054
-1399	25258	20114	45372
-1299	28340	11595	39935
-1199	23307	17407	40714
-1099	21612	11087	32699
-999	23586	12928	36514
-899	19321	14591	33912
-799	25992	10935	36927
-699	25693	30243	55936
-599	23084	24018	47102
-499	20682	14817	35499
-399	25455	14374	39829
-299	24389	10700	35089
-199	21784	24300	46084
-99	39199	29256	68455
1	36554	18251	54805
101	40013	17957	57970
201	26511	16640	43151
301	32275	14422	46697
401	29132	20574	49706
501	29531	24307	53838
601	24862	19716	44578
701	29835	26346	56181
801	34192	21932	56124
901	29425	25812	55237
1001	25833	20275	46108
1101	25610	18626	44236
1201	24396	23002	47398
1301	26636	21484	48120
1401	25570	23076	48646
1501	17545	27127	44672
1601	22353	20630	42983
1701	23190	27244	50434
1801	21243	15995	37238
1901	27083	42739	69822
2001	16565	40034	56599
2101	20327	32121	52448
2201	26457	23600	50057
2301	23256	21779	45035
2401	20710	20997	41707
2501	20954	19158	40112
2601	19303	23585	42888
2701	23939	18418	42357
2801	20628	21642	42270
2901	26887	15496	42383
