bin start	sense overlap	antisense overlap	total overlap
-3000	31310	24385	55695
-2900	28637	19269	47906
-2800	23697	20613	44310
-2700	29901	21038	50939
-2600	24057	22569	46626
-2500	28216	21820	50036
-2400	27354	25126	52480
-2300	24261	33726	57987
-2200	27245	32776	60021
-2100	26877	22166	49043
-2000	28890	20969	49859
-1900	40772	19876	60648
-1800	27064	25741	52805
-1700	41407	25044	66451
-1600	26614	31877	58491
-1500	35383	40167	75550
-1400	31934	30331	62265
-1300	28800	22986	51786
-1200	34415	23523	57938
-1100	28089	17474	45563
-1000	32392	27894	60286
-900	25712	33766	59478
-800	34959	23015	57974
-700	32464	26391	58855
-600	32226	21189	53415
-500	36185	27966	64151
-400	29134	26897	56031
-300	31108	22154	53262
-200	28750	23748	52498
-100	18771	18142	36913
0	27972	14327	42299
100	32305	18329	50634
200	24725	15912	40637
300	16827	15013	31840
400	21054	14894	35948
500	21189	13697	34886
600	21977	16370	38347
700	19503	16448	35951
800	28440	13017	41457
900	20506	15388	35894
1000	22770	11660	34430
1100	23821	20357	44178
1200	29377	13896	43273
1300	24179	14817	38996
1400	25066	12063	37129
1500	22507	27900	50407
1600	23345	25359	48704
1700	19976	18331	38307
1800	23987	14509	38496
1900	25610	17835	43445
