bin start	sense overlap	antisense overlap	total overlap
-1999	36823	29387	66210
-1899	37407	25555	62962
-1799	32750	25377	58127
-1699	36643	28918	65561
-1599	39564	21516	61080
-1499	33717	26447	60164
-1399	27806	19558	47364
-1299	36791	21252	58043
-1199	27454	15426	42880
-1099	22898	23767	46665
-999	32103	23900	56003
-899	27303	18961	46264
-799	31157	27844	59001
-699	29446	29149	58595
-599	30106	24842	54948
-499	28091	24138	52229
-399	31057	20949	52006
-299	29525	15374	44899
-199	31088	24978	56066
-99	51486	31502	82988
1	50196	20783	70979
101	60060	29654	89714
201	33790	18784	52574
301	48806	25769	74575
401	40805	25589	66394
501	33497	29520	63017
601	35720	34186	69906
701	44720	32379	77099
801	42637	36652	79289
901	32867	27246	60113
1001	36239	24811	61050
1101	36885	28889	65774
1201	30064	33123	63187
1301	25232	28530	53762
1401	34062	34662	68724
1501	30092	37401	67493
1601	33197	41849	75046
1701	32947	26179	59126
1801	28211	31311	59522
1901	38858	49921	88779
2001	29293	47646	76939
2101	34633	34796	69429
2201	32447	35538	67985
2301	36846	35537	72383
2401	36168	31690	67858
2501	35461	28902	64363
2601	28044	28080	56124
2701	33425	27208	60633
2801	28407	29874	58281
2901	28521	23280	51801
