bin start	sense overlap	antisense overlap	total overlap
-3000	41937	30198	72135
-2900	32330	29433	61763
-2800	31770	33500	65270
-2700	30835	26464	57299
-2600	33453	26015	59468
-2500	36265	34222	70487
-2400	44425	35773	80198
-2300	38540	35231	73771
-2200	37753	34980	72733
-2100	31990	33150	65140
-2000	45143	35350	80493
-1900	46894	35606	82500
-1800	36818	36685	73503
-1700	50249	43431	93680
-1600	36269	37336	73605
-1500	41925	47416	89341
-1400	34358	32906	67264
-1300	43346	36240	79586
-1200	43830	40831	84661
-1100	45384	32396	77780
-1000	42547	33457	76004
-900	39774	36730	76504
-800	41683	38562	80245
-700	39659	38919	78578
-600	37689	36615	74304
-500	53161	30280	83441
-400	37003	38634	75637
-300	40214	34214	74428
-200	33817	28619	62436
-100	25340	31047	56387
0	32313	22412	54725
100	29346	23741	53087
200	36676	20368	57044
300	20145	20245	40390
400	27015	22332	49347
500	36793	17307	54100
600	33601	24067	57668
700	32101	23214	55315
800	32755	22787	55542
900	36573	17962	54535
1000	28030	17663	45693
1100	29882	22355	52237
1200	31055	18534	49589
1300	33641	19007	52648
1400	33171	25389	58560
1500	30816	33166	63982
1600	34114	25824	59938
1700	25183	21884	47067
1800	28631	17439	46070
1900	44769	24841	69610
