bin start	sense overlap	antisense overlap	total overlap
-1999	24860	25013	49873
-1899	32105	15362	47467
-1799	20225	24404	44629
-1699	22229	20060	42289
-1599	32685	17402	50087
-1499	29255	14263	43518
-1399	25648	21410	47058
-1299	27747	18690	46437
-1199	28647	24196	52843
-1099	27360	18129	45489
-999	28349	17577	45926
-899	28418	18638	47056
-799	36574	17233	53807
-699	27594	23968	51562
-599	29899	25263	55162
-499	28033	23875	51908
-399	20926	17441	38367
-299	26170	16727	42897
-199	26349	29658	56007
-99	40916	27104	68020
1	40752	20704	61456
101	52736	22806	75542
201	27088	18346	45434
301	32781	20699	53480
401	42825	21381	64206
501	31243	22958	54201
601	34808	22986	57794
701	31473	25787	57260
801	32569	31856	64425
901	30388	40919	71307
1001	37064	27561	64625
1101	34482	28162	62644
1201	26308	32218	58526
1301	35033	29434	64467
1401	27955	39444	67399
1501	26014	33687	59701
1601	29569	27809	57378
1701	26284	28068	54352
1801	26086	24409	50495
1901	33826	44686	78512
2001	30284	42004	72288
2101	25764	30102	55866
2201	35164	32249	67413
2301	27748	29725	57473
2401	29902	27424	57326
2501	27697	24398	52095
2601	25940	21179	47119
2701	27882	27932	55814
2801	25080	35174	60254
2901	24053	19883	43936
