bin start	sense overlap	antisense overlap	total overlap
-3000	31889	26852	58741
-2900	39573	28046	67619
-2800	27731	30337	58068
-2700	29787	30760	60547
-2600	27992	22844	50836
-2500	30730	35492	66222
-2400	33363	28874	62237
-2300	31530	33382	64912
-2200	33400	30559	63959
-2100	26900	33452	60352
-2000	40562	30211	70773
-1900	30776	23282	54058
-1800	38711	28348	67059
-1700	50826	36963	87789
-1600	33644	34464	68108
-1500	33517	39564	73081
-1400	33434	26863	60297
-1300	37656	31212	68868
-1200	37610	31609	69219
-1100	31871	34728	66599
-1000	32679	30253	62932
-900	29775	45186	74961
-800	38864	31323	70187
-700	29708	34661	64369
-600	50628	29742	80370
-500	46875	27782	74657
-400	32414	33451	65865
-300	36072	30317	66389
-200	25733	24372	50105
-100	26623	32595	59218
0	35722	12318	48040
100	28723	22168	50891
200	24037	19670	43707
300	23710	15269	38979
400	21542	15508	37050
500	28266	20452	48718
600	30358	27962	58320
700	29012	21166	50178
800	30985	19344	50329
900	25774	15615	41389
1000	26862	11964	38826
1100	21617	19435	41052
1200	42219	20837	63056
1300	25530	17741	43271
1400	37954	19943	57897
1500	27281	30685	57966
1600	28546	21613	50159
1700	20163	21515	41678
1800	27172	19738	46910
1900	32973	21586	54559
