bin start	sense overlap	antisense overlap	total overlap
-1999	619768	585094	1204862
-1899	610586	575133	1185719
-1799	629311	587797	1217108
-1699	611463	595705	1207168
-1599	630657	562664	1193321
-1499	660894	545458	1206352
-1399	570865	535846	1106711
-1299	603023	529630	1132653
-1199	618904	530414	1149318
-1099	605126	512533	1117659
-999	592422	524662	1117084
-899	538023	500474	1038497
-799	475693	421983	897676
-699	440160	399737	839897
-599	381537	354388	735925
-499	328339	313070	641409
-399	296327	293991	590318
-299	317049	337510	654559
-199	337048	354508	691556
-99	416813	443640	860453
1	687067	726693	1413760
101	917532	948294	1865826
201	969517	986563	1956080
301	988092	1002028	1990120
401	983418	988641	1972059
501	976530	946710	1923240
601	987080	980702	1967782
701	986863	951937	1938800
801	936328	903883	1840211
901	867143	853555	1720698
1001	806666	804657	1611323
1101	872334	823865	1696199
1201	804095	768687	1572782
1301	789377	783757	1573134
1401	833341	764764	1598105
1501	762277	739031	1501308
1601	730263	727117	1457380
1701	722533	703004	1425537
1801	693866	711864	1405730
1901	674059	687175	1361234
2001	700843	714146	1414989
2101	677482	660666	1338148
2201	689074	651343	1340417
2301	647900	645383	1293283
2401	640821	641275	1282096
2501	614224	618988	1233212
2601	596490	591058	1187548
2701	625753	610068	1235821
2801	591983	588569	1180552
2901	575916	548029	1123945
