bin start	sense overlap	antisense overlap	total overlap
-3000	665109	680181	1345290
-2900	685270	670137	1355407
-2800	663367	655918	1319285
-2700	684838	663942	1348780
-2600	675611	680472	1356083
-2500	696180	709456	1405636
-2400	758544	696326	1454870
-2300	740941	737991	1478932
-2200	769377	743142	1512519
-2100	739626	736270	1475896
-2000	799552	778127	1577679
-1900	798786	786739	1585525
-1800	852857	842962	1695819
-1700	824372	849183	1673555
-1600	891083	890511	1781594
-1500	893240	904524	1797764
-1400	886110	862815	1748925
-1300	920280	920835	1841115
-1200	969374	936204	1905578
-1100	965100	957710	1922810
-1000	1027638	993905	2021543
-900	1099000	1083106	2182106
-800	1159892	1136650	2296542
-700	1313077	1255597	2568674
-600	1436630	1367079	2803709
-500	1650001	1522065	3172066
-400	1788826	1609588	3398414
-300	1890524	1587525	3478049
-200	1698680	1285419	2984099
-100	668897	499275	1168172
0	230871	217364	448235
100	226095	201760	427855
200	242419	246224	488643
300	295940	303479	599419
400	347794	357660	705454
500	415686	451330	867016
600	471513	492109	963622
700	646905	497177	1144082
800	544961	550898	1095859
900	545834	541480	1087314
1000	588243	569032	1157275
1100	595288	583002	1178290
1200	590698	557210	1147908
1300	604669	534108	1138777
1400	552924	546957	1099881
1500	553821	533745	1087566
1600	584323	557381	1141704
1700	574893	549712	1124605
1800	625229	549587	1174816
1900	583915	566421	1150336
