bin start	sense overlap	antisense overlap	total overlap
-1999	259842	263602	523444
-1899	234174	255932	490106
-1799	259437	288858	548295
-1699	243991	232896	476887
-1599	233154	247020	480174
-1499	225228	218199	443427
-1399	216489	223059	439548
-1299	208421	235782	444203
-1199	231223	247296	478519
-1099	240297	235574	475871
-999	239057	215439	454496
-899	216941	220519	437460
-799	255889	208227	464116
-699	224192	176713	400905
-599	205918	179392	385310
-499	191593	182340	373933
-399	201797	160655	362452
-299	246720	222347	469067
-199	274613	199186	473799
-99	330545	187946	518491
1	288748	297226	585974
101	438035	358044	796079
201	351038	355222	706260
301	369141	397864	767005
401	385057	381973	767030
501	415597	367965	783562
601	389711	418234	807945
701	392104	459350	851454
801	407842	423106	830948
901	378114	351366	729480
1001	391413	327678	719091
1101	337083	341007	678090
1201	365775	313499	679274
1301	317861	328383	646244
1401	334520	330339	664859
1501	315749	314360	630109
1601	288084	320975	609059
1701	275868	310487	586355
1801	278818	289079	567897
1901	349592	320237	669829
2001	332101	299183	631284
2101	283929	492859	776788
2201	297962	282384	580346
2301	286081	297560	583641
2401	281097	287654	568751
2501	262202	260801	523003
2601	270828	245582	516410
2701	259500	266629	526129
2801	247018	267494	514512
2901	283996	255600	539596
