bin start	sense overlap	antisense overlap	total overlap
-3000	315945	298864	614809
-2900	291954	282732	574686
-2800	272466	273203	545669
-2700	307958	330285	638243
-2600	288945	297401	586346
-2500	308359	272137	580496
-2400	310711	289463	600174
-2300	384032	299838	683870
-2200	344613	324992	669605
-2100	318980	300474	619454
-2000	332738	353455	686193
-1900	329435	319133	648568
-1800	337251	546166	883417
-1700	345950	339064	685014
-1600	427655	358306	785961
-1500	414698	386238	800936
-1400	321333	367210	688543
-1300	350553	402068	752621
-1200	399422	372924	772346
-1100	370377	375935	746312
-1000	387262	384382	771644
-900	446085	432700	878785
-800	414724	420546	835270
-700	486982	473040	960022
-600	493121	511896	1005017
-500	525723	524124	1049847
-400	508004	557189	1065193
-300	550949	586648	1137597
-200	497161	489225	986386
-100	294963	250177	545140
0	224631	139670	364301
100	189324	165343	354667
200	170466	164385	334851
300	188817	166813	355630
400	204937	182578	387515
500	220463	209778	430241
600	233306	220177	453483
700	232942	219401	452343
800	232582	222972	455554
900	248427	218675	467102
1000	241027	231388	472415
1100	279911	280212	560123
1200	343853	239925	583778
1300	275160	259186	534346
1400	233843	233374	467217
1500	242884	239953	482837
1600	243410	240677	484087
1700	243800	264536	508336
1800	294427	223307	517734
1900	290680	266951	557631
