bin start	sense overlap	antisense overlap	total overlap
-1999	190856	180900	371756
-1899	192647	201853	394500
-1799	181327	190354	371681
-1699	175814	221977	397791
-1599	182892	184153	367045
-1499	198508	158174	356682
-1399	179770	144357	324127
-1299	174415	178321	352736
-1199	212552	205371	417923
-1099	203910	231791	435701
-999	222003	226728	448731
-899	230677	168025	398702
-799	262342	200019	462361
-699	196600	147301	343901
-599	205946	168648	374594
-499	221921	240784	462705
-399	255641	195611	451252
-299	207493	177422	384915
-199	227218	209225	436443
-99	282605	203434	486039
1	222128	197259	419387
101	211517	212761	424278
201	253545	226054	479599
301	260616	239434	500050
401	296166	216408	512574
501	275982	257429	533411
601	253254	250661	503915
701	291114	308088	599202
801	318463	319122	637585
901	364931	275303	640234
1001	331997	283067	615064
1101	248014	257958	505972
1201	234965	227882	462847
1301	199219	195228	394447
1401	238128	217094	455222
1501	235243	215365	450608
1601	250827	228106	478933
1701	209286	232132	441418
1801	224376	216610	440986
1901	256003	241676	497679
2001	293282	247708	540990
2101	224981	265651	490632
2201	246109	233208	479317
2301	263994	235716	499710
2401	294134	257320	551454
2501	227983	216819	444802
2601	238652	235160	473812
2701	260197	247935	508132
2801	226299	246156	472455
2901	253823	230286	484109
