bin start	sense overlap	antisense overlap	total overlap
-3000	257031	230042	487073
-2900	216838	198193	415031
-2800	193989	228376	422365
-2700	225217	273963	499180
-2600	249226	233935	483161
-2500	248279	217428	465707
-2400	224473	249902	474375
-2300	275323	264515	539838
-2200	270473	275006	545479
-2100	208502	232334	440836
-2000	262842	234164	497006
-1900	267199	236327	503526
-1800	249797	232670	482467
-1700	264800	242179	506979
-1600	232789	230500	463289
-1500	266913	257973	524886
-1400	247154	223806	470960
-1300	273517	245150	518667
-1200	271266	260257	531523
-1100	265782	297155	562937
-1000	300621	281574	582195
-900	258772	252723	511495
-800	309394	295098	604492
-700	294054	284101	578155
-600	308603	330865	639468
-500	310831	273255	584086
-400	278180	297976	576156
-300	323595	341742	665337
-200	342653	298009	640662
-100	288112	215720	503832
0	233101	176914	410015
100	220219	195954	416173
200	182556	178384	360940
300	246789	197667	444456
400	190008	211904	401912
500	172101	194455	366556
600	197745	162181	359926
700	229594	169549	399143
800	175335	145891	321226
900	205340	158242	363582
1000	154192	134626	288818
1100	186676	156445	343121
1200	186449	161256	347705
1300	191773	160875	352648
1400	211761	195520	407281
1500	193196	165317	358513
1600	206386	200056	406442
1700	173590	191987	365577
1800	210359	209624	419983
1900	260372	184512	444884
