bin start	sense overlap	antisense overlap	total overlap
-1999	547445	467963	1015408
-1899	585155	465627	1050782
-1799	517610	465366	982976
-1699	513137	459669	972806
-1599	493041	438694	931735
-1499	529998	437117	967115
-1399	630994	429821	1060815
-1299	494663	431840	926503
-1199	654745	423195	1077940
-1099	543434	412664	956098
-999	478580	394889	873469
-899	565500	388588	954088
-799	493012	372498	865510
-699	467596	367140	834736
-599	525828	335249	861077
-499	435639	329522	765161
-399	381009	307965	688974
-299	444368	306838	751206
-199	393764	322023	715787
-99	432457	373539	805996
1	781713	523030	1304743
101	901304	648499	1549803
201	829553	688881	1518434
301	699950	697150	1397100
401	727865	744425	1472290
501	805944	796029	1601973
601	778296	722182	1500478
701	786205	714973	1501178
801	794510	711226	1505736
901	766101	674864	1440965
1001	703613	656888	1360501
1101	705373	664902	1370275
1201	744349	642588	1386937
1301	682291	622965	1305256
1401	704474	623243	1327717
1501	651752	609362	1261114
1601	635418	592343	1227761
1701	697231	573552	1270783
1801	604479	575155	1179634
1901	566674	558118	1124792
2001	658469	567770	1226239
2101	551398	544552	1095950
2201	583076	545490	1128566
2301	582313	533092	1115405
2401	691383	548269	1239652
2501	554801	504617	1059418
2601	639137	488520	1127657
2701	601264	488420	1089684
2801	537574	491590	1029164
2901	623702	480296	1103998
