bin start	sense overlap	antisense overlap	total overlap
-3000	534960	549032	1083992
-2900	534341	545993	1080334
-2800	545358	535927	1081285
-2700	547539	555441	1102980
-2600	550942	553843	1104785
-2500	565822	569282	1135104
-2400	578298	568425	1146723
-2300	593011	604591	1197602
-2200	614259	602762	1217021
-2100	617615	607638	1225253
-2000	619228	619982	1239210
-1900	635593	661231	1296824
-1800	660173	685999	1346172
-1700	700481	670210	1370691
-1600	752545	695063	1447608
-1500	755989	719865	1475854
-1400	779038	711015	1490053
-1300	808009	722831	1530840
-1200	800040	747710	1547750
-1100	827485	750566	1578051
-1000	832954	782200	1615154
-900	855288	847149	1702437
-800	1212308	885491	2097799
-700	1088906	930232	2019138
-600	1008406	971162	1979568
-500	1103253	1020843	2124096
-400	1195952	1029206	2225158
-300	1122481	983268	2105749
-200	830567	700169	1530736
-100	511661	344352	856013
0	300390	223778	524168
100	271928	246140	518068
200	295228	263397	558625
300	378257	301691	679948
400	389563	339823	729386
500	421795	366803	788598
600	429769	379506	809275
700	555159	399684	954843
800	505800	394393	900193
900	479156	415976	895132
1000	497727	445117	942844
1100	542971	434394	977365
1200	491898	435335	927233
1300	504747	421069	925816
1400	538634	438901	977535
1500	680666	453044	1133710
1600	511654	450830	962484
1700	651744	465948	1117692
1800	713507	445212	1158719
1900	578244	457880	1036124
