bin start	sense overlap	antisense overlap	total overlap
-1999	1006483	891930	1898413
-1899	961711	880730	1842441
-1799	961439	878872	1840311
-1699	913721	852129	1765850
-1599	923935	823921	1747856
-1499	944827	824997	1769824
-1399	953085	803482	1756567
-1299	931860	808077	1739937
-1199	963859	793401	1757260
-1099	915252	765562	1680814
-999	849316	749579	1598895
-899	896688	721225	1617913
-799	892316	699960	1592276
-699	805628	687311	1492939
-599	789510	624779	1414289
-499	729285	611995	1341280
-399	616612	576708	1193320
-299	666245	580910	1247155
-199	653242	606903	1260145
-99	732253	699975	1432228
1	1380103	984619	2364722
101	1390259	1209424	2599683
201	1359975	1295645	2655620
301	1338116	1314302	2652418
401	1387419	1379523	2766942
501	1420259	1420570	2840829
601	1418575	1343803	2762378
701	1445145	1344811	2789956
801	1378692	1328930	2707622
901	1323357	1278555	2601912
1001	1299548	1235525	2535073
1101	1330713	1237142	2567855
1201	1273003	1207029	2480032
1301	1206097	1188106	2394203
1401	1262035	1173017	2435052
1501	1197394	1153283	2350677
1601	1139214	1093141	2232355
1701	1174610	1068291	2242901
1801	1058268	1076732	2135000
1901	1068666	1041616	2110282
2001	1098155	1054772	2152927
2101	1022070	1008775	2030845
2201	1074623	1027867	2102490
2301	1061223	996991	2058214
2401	1053956	1020906	2074862
2501	1033587	948355	1981942
2601	1019289	929514	1948803
2701	977045	910971	1888016
2801	935206	921943	1857149
2901	1030982	899352	1930334
