bin start	sense overlap	antisense overlap	total overlap
-3000	905775	909176	1814951
-2900	890380	893542	1783922
-2800	905646	888534	1794180
-2700	900981	914185	1815166
-2600	907526	911204	1818730
-2500	935385	933151	1868536
-2400	965864	935400	1901264
-2300	991138	1009755	2000893
-2200	1017097	1002276	2019373
-2100	1033990	999382	2033372
-2000	1038544	1025840	2064384
-1900	1054373	1057752	2112125
-1800	1097989	1078620	2176609
-1700	1110586	1101956	2212542
-1600	1188622	1154140	2342762
-1500	1206123	1203757	2409880
-1400	1238669	1185395	2424064
-1300	1328363	1200240	2528603
-1200	1259198	1233031	2492229
-1100	1314932	1264080	2579012
-1000	1362258	1314092	2676350
-900	1420116	1393589	2813705
-800	1649820	1488676	3138496
-700	1663240	1583034	3246274
-600	1713591	1655413	3369004
-500	1868650	1751633	3620283
-400	1906974	1775251	3682225
-300	1936413	1717926	3654339
-200	1436936	1237621	2674557
-100	702741	568206	1270947
0	395313	345050	740363
100	443692	375130	818822
200	431261	418968	850229
300	486365	481557	967922
400	532861	542880	1075741
500	597119	622435	1219554
600	663978	638746	1302724
700	794757	670926	1465683
800	721778	683505	1405283
900	757388	696346	1453734
1000	769405	744945	1514350
1100	797316	757939	1555255
1200	785679	735457	1521136
1300	813078	705272	1518350
1400	803445	731056	1534501
1500	820645	749893	1570538
1600	845453	736401	1581854
1700	825160	765881	1591041
1800	951534	742862	1694396
1900	813424	756565	1569989
