bin start	sense overlap	antisense overlap	total overlap
-3000	252414	267806	520220
-2900	265432	230458	495890
-2800	231548	242108	473656
-2700	217755	290195	507950
-2600	202757	222817	425574
-2500	216230	198567	414797
-2400	233754	210971	444725
-2300	255716	230781	486497
-2200	213857	253556	467413
-2100	229153	211467	440620
-2000	222091	227874	449965
-1900	218131	215584	433715
-1800	214121	235697	449818
-1700	314272	227796	542068
-1600	244510	275564	520074
-1500	222553	278151	500704
-1400	211114	223030	434144
-1300	234866	267801	502667
-1200	251013	235145	486158
-1100	229973	254856	484829
-1000	232124	234371	466495
-900	268599	250246	518845
-800	268655	232169	500824
-700	273013	270406	543419
-600	261093	280765	541858
-500	286993	272824	559817
-400	297347	286706	584053
-300	318404	298695	617099
-200	257217	233139	490356
-100	148931	123387	272318
0	135932	97300	233232
100	92926	130802	223728
200	119756	95690	215446
300	145492	105513	251005
400	123818	133964	257782
500	136463	124495	260958
600	122549	126572	249121
700	151197	113155	264352
800	141419	135569	276988
900	169618	148135	317753
1000	167497	145262	312759
1100	225068	158371	383439
1200	390729	272400	663129
1300	479070	183356	662426
1400	194906	192569	387475
1500	266879	203479	470358
1600	162729	168720	331449
1700	167125	150246	317371
1800	281616	148291	429907
1900	213177	159505	372682
