bin start	sense overlap	antisense overlap	total overlap
-1999	163476	147640	311116
-1899	182028	147132	329160
-1799	156969	151086	308055
-1699	164308	139357	303665
-1599	202762	139122	341884
-1499	189338	128503	317841
-1399	247548	138873	386421
-1299	153402	143678	297080
-1199	164073	129742	293815
-1099	156527	116819	273346
-999	176570	139251	315821
-899	195192	117269	312461
-799	237248	117313	354561
-699	252815	105411	358226
-599	207754	102951	310705
-499	133154	87901	221055
-399	121117	88278	209395
-299	155321	92957	248278
-199	144580	111860	256440
-99	160580	116275	276855
1	243048	170981	414029
101	312744	202827	515571
201	238119	251911	490030
301	222363	210946	433309
401	222417	225519	447936
501	217484	231977	449461
601	235159	205108	440267
701	242286	205009	447295
801	284052	201511	485563
901	238816	201846	440662
1001	202937	199751	402688
1101	197632	192922	390554
1201	324052	194334	518386
1301	215177	196969	412146
1401	204925	184342	389267
1501	191946	187462	379408
1601	203122	178069	381191
1701	218135	181438	399573
1801	180179	180242	360421
1901	170168	194992	365160
2001	188479	188014	376493
2101	175697	178180	353877
2201	173523	172803	346326
2301	168817	164065	332882
2401	234445	177740	412185
2501	206419	164243	370662
2601	180921	152574	333495
2701	164601	160305	324906
2801	159675	146653	306328
2901	195283	152505	347788
