bin start	sense overlap	antisense overlap	total overlap
-3000	87290	89049	176339
-2900	89633	88791	178424
-2800	93543	90255	183798
-2700	84461	99280	183741
-2600	100760	91462	192222
-2500	93098	88542	181640
-2400	98251	88487	186738
-2300	102159	94890	197049
-2200	91124	96780	187904
-2100	90099	91836	181935
-2000	97989	88265	186254
-1900	95845	89874	185719
-1800	99589	95503	195092
-1700	129687	91559	221246
-1600	133664	101523	235187
-1500	105963	106935	212898
-1400	100525	101384	201909
-1300	99077	102255	201332
-1200	116489	103040	219529
-1100	113384	108813	222197
-1000	115753	118259	234012
-900	114650	117747	232397
-800	140612	116622	257234
-700	136279	122124	258403
-600	133669	131704	265373
-500	143465	144429	287894
-400	157676	142178	299854
-300	175948	144219	320167
-200	150897	124575	275472
-100	79012	61262	140274
0	50376	41052	91428
100	41786	42643	84429
200	65476	50000	115476
300	122817	59096	181913
400	65304	63088	128392
500	69944	64692	134636
600	68879	72675	141554
700	108802	59061	167863
800	89633	67812	157445
900	73960	70671	144631
1000	70322	75429	145751
1100	87012	69909	156921
1200	84810	67595	152405
1300	78178	72798	150976
1400	120757	80520	201277
1500	228624	75631	304255
1600	75134	87785	162919
1700	85758	69225	154983
1800	114740	66917	181657
1900	108203	77601	185804
