bin start	sense overlap	antisense overlap	total overlap
-1999	1926925	1706023	3632948
-1899	1766735	1681458	3448193
-1799	1791013	1703897	3494910
-1699	1785492	1615598	3401090
-1599	1832746	1560879	3393625
-1499	1853818	1541482	3395300
-1399	1658658	1533064	3191722
-1299	1735006	1535812	3270818
-1199	1712147	1517000	3229147
-1099	1621937	1416043	3037980
-999	1581151	1416611	2997762
-899	1490879	1323993	2814872
-799	1332549	1131230	2463779
-699	1244170	1063854	2308024
-599	1064059	925224	1989283
-499	1050461	817076	1867537
-399	873362	757460	1630822
-299	987143	836465	1823608
-199	997967	942311	1940278
-99	1154400	1160738	2315138
1	1948844	1961659	3910503
101	2734938	2563292	5298230
201	2648833	2562755	5211588
301	2624063	2596782	5220845
401	2637110	2634332	5271442
501	2640066	2564898	5204964
601	2624369	2603289	5227658
701	2664899	2629547	5294446
801	2656115	2524240	5180355
901	2429152	2379881	4809033
1001	2377113	2229372	4606485
1101	2510673	2281199	4791872
1201	2275109	2084089	4359198
1301	2218742	2076714	4295456
1401	2643038	2194078	4837116
1501	2140041	2060063	4200104
1601	2147260	2084220	4231480
1701	2036465	1960934	3997399
1801	2020157	1951789	3971946
1901	1992462	1932618	3925080
2001	1939280	1931071	3870351
2101	1964561	1870602	3835163
2201	1942748	1871255	3814003
2301	1868616	1826510	3695126
2401	1855341	1798661	3654002
2501	1812802	1716585	3529387
2601	1771602	1657351	3428953
2701	1740871	1723583	3464454
2801	1698714	1641176	3339890
2901	1711980	1581815	3293795
