bin start	sense overlap	antisense overlap	total overlap
-1999	112869	103655	216524
-1899	130683	89544	220227
-1799	96390	89733	186123
-1699	96401	90879	187280
-1599	122078	85075	207153
-1499	105564	90952	196516
-1399	106481	83370	189851
-1299	103933	79538	183471
-1199	108369	78030	186399
-1099	104148	80242	184390
-999	99484	82132	181616
-899	101913	74945	176858
-799	109441	91652	201093
-699	106520	101785	208305
-599	104464	103473	207937
-499	97939	93592	191531
-399	108638	90079	198717
-299	110405	84253	194658
-199	116731	104665	221396
-99	178096	108973	287069
1	129791	89217	219008
101	141544	93532	235076
201	109566	98024	207590
301	134347	99170	233517
401	138958	107672	246630
501	121021	115688	236709
601	125750	115354	241104
701	147439	130455	277894
801	150925	127321	278246
901	149270	121076	270346
1001	131237	129230	260467
1101	134175	119807	253982
1201	130202	121457	251659
1301	121833	121289	243122
1401	117840	138661	256501
1501	119934	134264	254198
1601	118036	122475	240511
1701	118459	124864	243323
1801	120794	122392	243186
1901	120010	172767	292777
2001	123347	158708	282055
2101	114940	139413	254353
2201	120482	137886	258368
2301	117800	133005	250805
2401	121539	134592	256131
2501	125811	116370	242181
2601	116495	117511	234006
2701	114994	116703	231697
2801	115529	113224	228753
2901	116806	110331	227137
