bin start	sense overlap	antisense overlap	total overlap
-3000	137621	124154	261775
-2900	131809	127309	259118
-2800	123130	124498	247628
-2700	127024	127478	254502
-2600	129511	128634	258145
-2500	161912	132716	294628
-2400	148630	129352	277982
-2300	138656	147664	286320
-2200	140351	145795	286146
-2100	133568	134900	268468
-2000	148759	136111	284870
-1900	171313	137720	309033
-1800	146818	140886	287704
-1700	170280	142626	312906
-1600	148541	137662	286203
-1500	147519	169186	316705
-1400	147969	144767	292736
-1300	157154	138201	295355
-1200	161120	134279	295399
-1100	143664	137258	280922
-1000	154352	140415	294767
-900	137158	143927	281085
-800	143350	130322	273672
-700	146560	132490	279050
-600	155448	130825	286273
-500	153535	125775	279310
-400	136503	127539	264042
-300	132923	124040	256963
-200	126610	121135	247745
-100	124460	105494	229954
0	159719	100261	259980
100	123276	98043	221319
200	131962	87339	219301
300	104893	90279	195172
400	93208	85659	178867
500	95757	90277	186034
600	104313	95706	200019
700	110454	76423	186877
800	100624	78135	178759
900	98019	77984	176003
1000	93432	70628	164060
1100	93813	88230	182043
1200	112475	78130	190605
1300	106380	80372	186752
1400	130786	84861	215647
1500	103096	104359	207455
1600	115099	97557	212656
1700	84023	87355	171378
1800	107385	80867	188252
1900	123832	85086	208918
