bin start	sense overlap	antisense overlap	total overlap
-1999	805368	675702	1481070
-1899	786585	627703	1414288
-1799	752488	736496	1488984
-1699	819765	624772	1444537
-1599	809444	617728	1427172
-1499	1022845	608596	1631441
-1399	912360	601840	1514200
-1299	777095	699462	1476557
-1199	866464	609454	1475918
-1099	861263	599906	1461169
-999	796245	575093	1371338
-899	850591	542126	1392717
-799	798360	511698	1310058
-699	834786	479037	1313823
-599	622051	448626	1070677
-499	615612	399462	1015074
-399	588993	361655	950648
-299	732038	371238	1103276
-199	738455	380173	1118628
-99	602689	473109	1075798
1	3424847	718193	4143040
101	1045818	872330	1918148
201	1074302	949283	2023585
301	976704	944128	1920832
401	1031414	1068352	2099766
501	1093575	1001413	2094988
601	1027575	1026324	2053899
701	1284091	1035783	2319874
801	1079996	982480	2062476
901	1064622	914745	1979367
1001	1000495	846944	1847439
1101	1295119	886403	2181522
1201	935392	854707	1790099
1301	1025491	866684	1892175
1401	1038574	1019286	2057860
1501	1142761	925749	2068510
1601	928349	906226	1834575
1701	1071720	798626	1870346
1801	892187	808023	1700210
1901	903008	821866	1724874
2001	930156	867309	1797465
2101	846032	810411	1656443
2201	867830	754079	1621909
2301	809706	732634	1542340
2401	917178	741059	1658237
2501	766498	699120	1465618
2601	768089	686465	1454554
2701	749115	715200	1464315
2801	759833	662334	1422167
2901	890150	680285	1570435
