bin start	sense overlap	antisense overlap	total overlap
-3000	824440	815641	1640081
-2900	847120	793339	1640459
-2800	862517	828949	1691466
-2700	880837	831077	1711914
-2600	822030	812139	1634169
-2500	847161	847572	1694733
-2400	919867	809759	1729626
-2300	981422	844741	1826163
-2200	907147	868823	1775970
-2100	875370	844955	1720325
-2000	969279	867394	1836673
-1900	927506	936555	1864061
-1800	939869	1030470	1970339
-1700	1067465	973720	2041185
-1600	1043241	1089955	2133196
-1500	1065969	1016778	2082747
-1400	1071669	1042322	2113991
-1300	1093662	1075726	2169388
-1200	1189899	1062483	2252382
-1100	1280098	1074832	2354930
-1000	1210716	1083593	2294309
-900	1251498	1226411	2477909
-800	1633344	1235689	2869033
-700	1478575	1383764	2862339
-600	1533880	1341858	2875738
-500	1606522	1439775	3046297
-400	1780622	1555754	3336376
-300	1947829	1659528	3607357
-200	1816264	1471599	3287863
-100	1013232	716042	1729274
0	665688	397100	1062788
100	796764	332178	1128942
200	520166	323939	844105
300	524384	396747	921131
400	700133	414960	1115093
500	729092	480092	1209184
600	702561	502277	1204838
700	888879	549829	1438708
800	793433	564473	1357906
900	752665	594487	1347152
1000	766133	653079	1419212
1100	727085	607012	1334097
1200	824840	541325	1366165
1300	776287	538812	1315099
1400	788222	560981	1349203
1500	949948	573452	1523400
1600	720496	556078	1276574
1700	706375	585927	1292302
1800	1010808	596310	1607118
1900	910334	590162	1500496
