bin start	sense overlap	antisense overlap	total overlap
-1999	1037975	792646	1830621
-1899	1021642	785897	1807539
-1799	962716	928817	1891533
-1699	1033482	763290	1796772
-1599	1001726	752229	1753955
-1499	1244907	778018	2022925
-1399	1146143	744484	1890627
-1299	956573	910269	1866842
-1199	1024418	750458	1774876
-1099	1034113	714895	1749008
-999	992256	669831	1662087
-899	1073310	669318	1742628
-799	1047796	617595	1665391
-699	1060968	590086	1651054
-599	847130	550650	1397780
-499	865531	508186	1373717
-399	778290	474103	1252393
-299	1071897	484339	1556236
-199	1018869	513926	1532795
-99	769280	588365	1357645
1	5092172	906126	5998298
101	1505965	1098152	2604117
201	1349754	1191762	2541516
301	1255118	1192589	2447707
401	1275781	1393562	2669343
501	1332160	1250786	2582946
601	1242021	1266040	2508061
701	1739778	1244244	2984022
801	1349157	1235783	2584940
901	1295869	1108936	2404805
1001	1259630	1028414	2288044
1101	1689451	1084006	2773457
1201	1176866	1048461	2225327
1301	1260859	1065206	2326065
1401	1315470	1207367	2522837
1501	1311749	1115373	2427122
1601	1104018	1068400	2172418
1701	1441359	957893	2399252
1801	1076742	924865	2001607
1901	1078621	980323	2058944
2001	1133233	1038386	2171619
2101	1019382	921823	1941205
2201	1068584	929857	1998441
2301	951986	845940	1797926
2401	1100969	877194	1978163
2501	928257	836467	1764724
2601	967257	807181	1774438
2701	879799	861386	1741185
2801	929543	762680	1692223
2901	1085662	787121	1872783
