bin start	sense overlap	antisense overlap	total overlap
-3000	951143	955907	1907050
-2900	968563	920531	1889094
-2800	995985	950518	1946503
-2700	1030214	951773	1981987
-2600	957135	939564	1896699
-2500	991506	982699	1974205
-2400	1034957	945856	1980813
-2300	1189245	991369	2180614
-2200	1037977	1010159	2048136
-2100	1046592	999661	2046253
-2000	1123996	1024056	2148052
-1900	1080538	1096130	2176668
-1800	1141312	1177587	2318899
-1700	1300586	1136259	2436845
-1600	1288485	1280312	2568797
-1500	1329801	1238251	2568052
-1400	1293507	1240930	2534437
-1300	1336150	1274744	2610894
-1200	1465599	1262102	2727701
-1100	1575200	1342095	2917295
-1000	1474976	1318432	2793408
-900	1524827	1499821	3024648
-800	2267058	1490891	3757949
-700	1775307	1656905	3432212
-600	1848167	1643586	3491753
-500	1991485	1813465	3804950
-400	2189494	1940301	4129795
-300	2462746	2047808	4510554
-200	2265922	1777162	4043084
-100	1356764	850640	2207404
0	897112	483762	1380874
100	1194467	413546	1608013
200	689767	401127	1090894
300	682630	468906	1151536
400	882901	502046	1384947
500	915213	596605	1511818
600	903291	626567	1529858
700	1099464	679748	1779212
800	1036600	686898	1723498
900	986889	745428	1732317
1000	1015979	839836	1855815
1100	967932	768401	1736333
1200	1020579	691424	1712003
1300	978307	680172	1658479
1400	1070812	694351	1765163
1500	1262207	702656	1964863
1600	918001	700340	1618341
1700	925379	742784	1668163
1800	1229387	718060	1947447
1900	1204980	719934	1924914
