bin start	sense overlap	antisense overlap	total overlap
-1999	428513	278653	707166
-1899	501678	249936	751614
-1799	326812	237949	564761
-1699	385826	223608	609434
-1599	431591	277405	708996
-1499	390422	219535	609957
-1399	483075	239459	722534
-1299	362613	248496	611109
-1199	474839	224679	699518
-1099	415612	221129	636741
-999	329970	213472	543442
-899	474253	229632	703885
-799	456480	216744	673224
-699	408838	222643	631481
-599	437464	221126	658590
-499	341739	201700	543439
-399	377008	209680	586688
-299	433363	209281	642644
-199	413429	228215	641644
-99	358749	231217	589966
1	1276923	259620	1536543
101	541252	333519	874771
201	541018	358080	899098
301	376788	355278	732066
401	382509	429360	811869
501	395123	411742	806865
601	427345	415446	842791
701	655123	404416	1059539
801	601571	415524	1017095
901	489150	398259	887409
1001	462404	385653	848057
1101	462708	397266	859974
1201	559670	388764	948434
1301	537040	435069	972109
1401	460831	372823	833654
1501	429566	373291	802857
1601	416836	378240	795076
1701	566164	331987	898151
1801	384406	333530	717936
1901	411738	366082	777820
2001	501492	348099	849591
2101	341583	366933	708516
2201	360028	331301	691329
2301	368798	331330	700128
2401	476604	352354	828958
2501	438470	329003	767473
2601	455181	320963	776144
2701	364884	329780	694664
2801	395397	287305	682702
2901	454851	297107	751958
