bin start	sense overlap	antisense overlap	total overlap
-3000	458941	404277	863218
-2900	382822	359602	742424
-2800	398454	334713	733167
-2700	408040	337085	745125
-2600	432548	347327	779875
-2500	418973	337800	756773
-2400	454377	366623	821000
-2300	457770	392874	850644
-2200	400841	357657	758498
-2100	401432	404085	805517
-2000	480923	370963	851886
-1900	474487	419570	894057
-1800	439907	390464	830371
-1700	562356	420836	983192
-1600	560328	434302	994630
-1500	535866	453458	989324
-1400	511826	430813	942639
-1300	626592	427314	1053906
-1200	592276	480893	1073169
-1100	550796	454893	1005689
-1000	535794	474326	1010120
-900	617951	529266	1147217
-800	825372	591656	1417028
-700	817542	519456	1336998
-600	600025	507926	1107951
-500	533230	489975	1023205
-400	510088	471432	981520
-300	539204	376230	915434
-200	427776	288334	716110
-100	454940	202392	657332
0	382938	198226	581164
100	734219	208609	942828
200	345514	185531	531045
300	434375	189803	624178
400	414567	217083	631650
500	339490	198882	538372
600	289086	203578	492664
700	470348	221247	691595
800	347639	195846	543485
900	373222	213514	586736
1000	343951	241155	585106
1100	440496	227543	668039
1200	297782	230879	528661
1300	351267	257138	608405
1400	427204	260715	687919
1500	561184	249780	810964
1600	372855	264997	637852
1700	491727	262758	754485
1800	491452	263357	754809
1900	408716	289085	697801
