bin start	sense overlap	antisense overlap	total overlap
-1999	371342	271741	643083
-1899	422752	263833	686585
-1799	304629	264381	569010
-1699	359993	286290	646283
-1599	389055	270453	659508
-1499	354954	242329	597283
-1399	409994	244150	654144
-1299	331645	262266	593911
-1199	420825	262978	683803
-1099	387049	231498	618547
-999	311881	226670	538551
-899	362876	244427	607303
-799	341920	201677	543597
-699	305969	178187	484156
-599	284720	169653	454373
-499	218358	143839	362197
-399	218109	129393	347502
-299	267005	150505	417510
-199	254625	165611	420236
-99	236257	178188	414445
1	1010903	325201	1336104
101	577616	476789	1054405
201	559723	455449	1015172
301	468808	436166	904974
401	450434	445979	896413
501	450715	424069	874784
601	435829	449187	885016
701	606388	445485	1051873
801	566311	437614	1003925
901	430463	382586	813049
1001	463594	359544	823138
1101	440158	400545	840703
1201	479669	402892	882561
1301	433726	403532	837258
1401	399481	372835	772316
1501	376225	364242	740467
1601	383649	352596	736245
1701	445249	311627	756876
1801	349038	340597	689635
1901	369228	327051	696279
2001	416622	376816	793438
2101	333499	361002	694501
2201	349045	334745	683790
2301	364475	316134	680609
2401	401302	334649	735951
2501	367204	314189	681393
2601	398317	290853	689170
2701	325077	293318	618395
2801	349047	273372	622419
2901	386654	271498	658152
