bin start	sense overlap	antisense overlap	total overlap
-3000	431498	395475	826973
-2900	352370	453381	805751
-2800	354316	334311	688627
-2700	376659	311628	688287
-2600	391610	318015	709625
-2500	367669	323669	691338
-2400	404336	334257	738593
-2300	386071	380324	766395
-2200	363959	357320	721279
-2100	366056	418842	784898
-2000	419138	352645	771783
-1900	555316	406900	962216
-1800	453449	385174	838623
-1700	470175	395806	865981
-1600	484030	414798	898828
-1500	519661	430763	950424
-1400	507004	438541	945545
-1300	543656	425866	969522
-1200	488770	458592	947362
-1100	497587	428316	925903
-1000	478047	453610	931657
-900	529157	512604	1041761
-800	742077	590356	1332433
-700	730508	576817	1307325
-600	710130	612265	1322395
-500	717302	667731	1385033
-400	804215	690546	1494761
-300	973302	671720	1645022
-200	837859	574596	1412455
-100	445599	254371	699970
0	217195	98871	316066
100	599083	105334	704417
200	192831	106726	299557
300	279679	136400	416079
400	264937	187130	452067
500	287838	193312	481150
600	240195	211743	451938
700	394354	242141	636495
800	305123	225341	530464
900	337213	233426	570639
1000	291159	273053	564212
1100	363329	260344	623673
1200	305782	234713	540495
1300	309767	265716	575483
1400	363486	261475	624961
1500	453282	258866	712148
1600	330266	260525	590791
1700	413655	273403	687058
1800	371522	252839	624361
1900	346585	268241	614826
