bin start	sense overlap	antisense overlap	total overlap
-1999	12078	12507	24585
-1899	14038	12648	26686
-1799	12343	12864	25207
-1699	12544	12485	25029
-1599	15421	11229	26650
-1499	12938	11150	24088
-1399	13040	10861	23901
-1299	14015	12114	26129
-1199	14446	12458	26904
-1099	13089	14941	28030
-999	16237	11528	27765
-899	15295	9955	25250
-799	18176	14992	33168
-699	13429	10289	23718
-599	16577	13275	29852
-499	15807	16422	32229
-399	18834	12910	31744
-299	17764	12030	29794
-199	15900	16268	32168
-99	20599	16745	37344
1	18908	13280	32188
101	16404	13098	29502
201	17120	14949	32069
301	17330	14921	32251
401	20532	15196	35728
501	18202	18290	36492
601	15789	17256	33045
701	20694	20996	41690
801	19437	21875	41312
901	21391	16859	38250
1001	23260	19375	42635
1101	16975	16887	33862
1201	14945	15674	30619
1301	14895	13561	28456
1401	14870	15756	30626
1501	16253	15585	31838
1601	14291	16891	31182
1701	13817	16276	30093
1801	15406	16452	31858
1901	15857	20954	36811
2001	18694	18779	37473
2101	14709	15619	30328
2201	16144	13836	29980
2301	17046	15964	33010
2401	17003	15308	32311
2501	17780	14996	32776
2601	15040	15901	30941
2701	18876	15116	33992
2801	14003	15057	29060
2901	18240	13771	32011
