bin start	sense overlap	antisense overlap	total overlap
-3000	20810	16307	37117
-2900	15711	13419	29130
-2800	14342	17571	31913
-2700	14946	18077	33023
-2600	19082	15196	34278
-2500	20320	13400	33720
-2400	16588	17007	33595
-2300	19128	20369	39497
-2200	18429	17666	36095
-2100	14716	15428	30144
-2000	17045	15591	32636
-1900	18109	14771	32880
-1800	17339	15515	32854
-1700	20840	16841	37681
-1600	14358	17730	32088
-1500	18087	19269	37356
-1400	18783	15765	34548
-1300	16858	18423	35281
-1200	17327	16987	34314
-1100	17212	19473	36685
-1000	19168	17929	37097
-900	17656	16844	34500
-800	20803	18785	39588
-700	18619	18752	37371
-600	22190	20719	42909
-500	19655	16546	36201
-400	20563	19797	40360
-300	21353	20150	41503
-200	22817	21901	44718
-100	20362	16883	37245
0	23953	14698	38651
100	22222	17507	39729
200	16644	12524	29168
300	19194	14386	33580
400	14724	15819	30543
500	13270	11892	25162
600	18040	10527	28567
700	14136	10442	24578
800	12380	10679	23059
900	13761	10847	24608
1000	10731	8672	19403
1100	12502	12115	24617
1200	12583	10300	22883
1300	13186	9724	22910
1400	13665	11615	25280
1500	12912	11305	24217
1600	13866	13354	27220
1700	11655	12669	24324
1800	13758	12313	26071
1900	15818	12586	28404
