bin start	sense overlap	antisense overlap	total overlap
-1999	14661	16441	31102
-1899	19838	16794	36632
-1799	15599	14551	30150
-1699	15312	16425	31737
-1599	16852	13545	30397
-1499	18202	13587	31789
-1399	14781	13167	27948
-1299	17069	12372	29441
-1199	16856	14799	31655
-1099	15478	16089	31567
-999	17189	13533	30722
-899	18820	12710	31530
-799	23153	17793	40946
-699	17145	13940	31085
-599	17768	16309	34077
-499	17966	17537	35503
-399	24857	15220	40077
-299	22193	14872	37065
-199	22578	16324	38902
-99	26225	19907	46132
1	23634	18340	41974
101	18620	15716	34336
201	18457	19474	37931
301	22497	18343	40840
401	22567	17465	40032
501	22051	20246	42297
601	19306	20997	40303
701	22528	22879	45407
801	23746	25023	48769
901	25029	21080	46109
1001	26399	23785	50184
1101	19974	20726	40700
1201	18147	20941	39088
1301	17022	17510	34532
1401	18330	18316	36646
1501	20180	18927	39107
1601	18030	20541	38571
1701	17457	18685	36142
1801	20660	18168	38828
1901	20409	24053	44462
2001	20761	20235	40996
2101	17134	23002	40136
2201	18709	19499	38208
2301	19224	19799	39023
2401	22300	20625	42925
2501	19927	16798	36725
2601	20092	19844	39936
2701	21301	18971	40272
2801	17198	19240	36438
2901	19878	16206	36084
