bin start	sense overlap	antisense overlap	total overlap
-3000	22388	18194	40582
-2900	19178	17641	36819
-2800	16571	18456	35027
-2700	18162	22411	40573
-2600	20904	20754	41658
-2500	23125	18711	41836
-2400	21239	19475	40714
-2300	21109	24964	46073
-2200	20869	23244	44113
-2100	18241	20020	38261
-2000	21420	20778	42198
-1900	23549	21048	44597
-1800	21142	18692	39834
-1700	25218	18809	44027
-1600	18676	19406	38082
-1500	22431	22665	45096
-1400	22364	20507	42871
-1300	24144	19993	44137
-1200	22762	20573	43335
-1100	21899	23022	44921
-1000	22298	21961	44259
-900	21559	21942	43501
-800	25427	26646	52073
-700	20769	21714	42483
-600	24425	25261	49686
-500	23653	20707	44360
-400	22325	23176	45501
-300	28313	23822	52135
-200	27067	25576	52643
-100	27089	21619	48708
0	28123	18166	46289
100	22921	19984	42905
200	20433	14308	34741
300	21713	17321	39034
400	17734	15122	32856
500	16288	14651	30939
600	21437	13206	34643
700	18752	12610	31362
800	14264	13123	27387
900	16102	13487	29589
1000	14090	11871	25961
1100	15729	14316	30045
1200	15898	12601	28499
1300	15473	13680	29153
1400	21500	13847	35347
1500	14018	13863	27881
1600	19272	13790	33062
1700	14791	13966	28757
1800	18050	15013	33063
1900	17022	13828	30850
