bin start	sense overlap	antisense overlap	total overlap
-1999	19473	17996	37469
-1899	20804	19074	39878
-1799	17534	17529	35063
-1699	16787	19190	35977
-1599	20477	14635	35112
-1499	20310	15690	36000
-1399	19622	13764	33386
-1299	19192	14628	33820
-1199	18949	15284	34233
-1099	20255	17421	37676
-999	19191	14797	33988
-899	21569	14049	35618
-799	25468	21244	46712
-699	19470	16854	36324
-599	20434	19207	39641
-499	20426	22385	42811
-399	25011	17514	42525
-299	23571	16456	40027
-199	23150	22237	45387
-99	28826	24355	53181
1	24484	17741	42225
101	20285	18047	38332
201	22999	20216	43215
301	25758	20382	46140
401	25441	20489	45930
501	23848	25157	49005
601	22215	23767	45982
701	24920	29022	53942
801	28812	27474	56286
901	30712	24418	55130
1001	30602	26993	57595
1101	24976	22091	47067
1201	22343	21638	43981
1301	19586	20374	39960
1401	23105	21942	45047
1501	23242	20890	44132
1601	20805	21485	42290
1701	19723	23388	43111
1801	20851	19866	40717
1901	22345	25835	48180
2001	23699	24361	48060
2101	20776	24672	45448
2201	23017	22309	45326
2301	22216	22387	44603
2401	24515	22782	47297
2501	22988	21090	44078
2601	21556	25351	46907
2701	23446	23165	46611
2801	20430	20097	40527
2901	20913	23279	44192
