bin start	sense overlap	antisense overlap	total overlap
-3000	23946	24195	48141
-2900	22907	19508	42415
-2800	19197	20553	39750
-2700	20170	24786	44956
-2600	22833	23981	46814
-2500	24550	21313	45863
-2400	23346	23598	46944
-2300	23369	28031	51400
-2200	24262	26454	50716
-2100	22295	21319	43614
-2000	23958	21469	45427
-1900	26379	22730	49109
-1800	24440	22711	47151
-1700	25736	22960	48696
-1600	23078	23516	46594
-1500	24418	27269	51687
-1400	25430	25415	50845
-1300	27179	23945	51124
-1200	25066	23659	48725
-1100	25759	27081	52840
-1000	24647	28098	52745
-900	21934	22755	44689
-800	27980	27565	55545
-700	24641	23739	48380
-600	30237	27827	58064
-500	27983	23928	51911
-400	27428	26573	54001
-300	29730	25012	54742
-200	27101	25284	52385
-100	27410	22633	50043
0	35268	18029	53297
100	28943	21675	50618
200	21612	19902	41514
300	24547	20313	44860
400	17611	19088	36699
500	19300	17202	36502
600	22127	15790	37917
700	20230	14494	34724
800	18205	14609	32814
900	17060	14714	31774
1000	16240	13486	29726
1100	16118	15326	31444
1200	17653	13565	31218
1300	18597	15126	33723
1400	22372	15726	38098
1500	17831	18685	36516
1600	22674	16635	39309
1700	17480	17250	34730
1800	18182	15968	34150
1900	22801	17795	40596
