bin start	sense overlap	antisense overlap	total overlap
-1999	59321	50399	109720
-1899	64628	62936	127564
-1799	56085	48147	104232
-1699	57720	64682	122402
-1599	65661	56174	121835
-1499	58671	48824	107495
-1399	58713	45229	103942
-1299	59002	48373	107375
-1199	66793	54066	120859
-1099	63343	66448	129791
-999	66566	54331	120897
-899	75234	47217	122451
-799	93501	77329	170830
-699	66041	51018	117059
-599	79046	66128	145174
-499	71769	84878	156647
-399	101420	76970	178390
-299	77186	59686	136872
-199	81123	68813	149936
-99	97437	76563	174000
1	89829	67684	157513
101	64999	60902	125901
201	74744	65973	140717
301	89319	75079	164398
401	84355	69736	154091
501	80758	80822	161580
601	65843	70162	136005
701	86615	100780	187395
801	96950	101741	198691
901	111469	82630	194099
1001	102195	81951	184146
1101	79764	85418	165182
1201	83593	70275	153868
1301	58598	63502	122100
1401	80247	62587	142834
1501	75243	63872	139115
1601	70882	70903	141785
1701	71496	72909	144405
1801	71390	68675	140065
1901	81948	78831	160779
2001	85170	76143	161313
2101	64497	77263	141760
2201	77827	64921	142748
2301	62075	63790	125865
2401	85804	75095	160899
2501	77031	60107	137138
2601	74304	75296	149600
2701	80610	75200	155810
2801	65453	68013	133466
2901	72687	63149	135836
