bin start	sense overlap	antisense overlap	total overlap
-3000	81048	76628	157676
-2900	67323	62731	130054
-2800	65699	58816	124515
-2700	71389	81408	152797
-2600	80611	69934	150545
-2500	81949	71874	153823
-2400	74897	67215	142112
-2300	91229	91205	182434
-2200	93632	85168	178800
-2100	66751	66467	133218
-2000	81827	74108	155935
-1900	89343	73872	163215
-1800	76459	71061	147520
-1700	78145	71187	149332
-1600	72739	67469	140208
-1500	81410	82867	164277
-1400	84256	63717	147973
-1300	83153	70602	153755
-1200	83785	74009	157794
-1100	74187	81310	155497
-1000	82277	76869	159146
-900	73983	74467	148450
-800	97661	88882	186543
-700	81000	85329	166329
-600	88590	98758	187348
-500	92308	80936	173244
-400	88367	99038	187405
-300	100525	101439	201964
-200	115858	112262	228120
-100	108005	90009	198014
0	110607	74081	184688
100	91154	77432	168586
200	70558	66131	136689
300	98895	71099	169994
400	67156	66526	133682
500	67024	63871	130895
600	72806	50747	123553
700	60459	49630	110089
800	57588	45731	103319
900	70807	49428	120235
1000	53348	43129	96477
1100	57827	48068	105895
1200	62525	47838	110363
1300	57829	48387	106216
1400	60663	57848	118511
1500	61455	46276	107731
1600	71868	51178	123046
1700	52825	49492	102317
1800	62633	60868	123501
1900	70969	54381	125350
