bin start	sense overlap	antisense overlap	total overlap
-1999	248794	245612	494406
-1899	251130	273607	524737
-1799	248435	246258	494693
-1699	230398	296786	527184
-1599	245416	253776	499192
-1499	250639	212058	462697
-1399	236306	186260	422566
-1299	215189	230880	446069
-1199	277090	274444	551534
-1099	270870	296787	567657
-999	307656	285155	592811
-899	329447	212013	541460
-799	361569	288487	650056
-699	268802	204136	472938
-599	276558	250912	527470
-499	301269	349359	650628
-399	360705	270897	631602
-299	287622	258995	546617
-199	316697	299129	615826
-99	382082	279367	661449
1	298765	257300	556065
101	277594	274118	551712
201	335870	302657	638527
301	357604	324998	682602
401	387716	288369	676085
501	368333	335057	703390
601	323304	335524	658828
701	389637	414699	804336
801	429738	434783	864521
901	496041	374175	870216
1001	448850	394456	843306
1101	332297	354188	686485
1201	318994	299497	618491
1301	273521	263143	536664
1401	328742	275858	604600
1501	318320	274809	593129
1601	323547	316753	640300
1701	286256	300195	586451
1801	302723	282465	585188
1901	340561	322128	662689
2001	385392	332374	717766
2101	301352	357951	659303
2201	334713	310680	645393
2301	348548	322119	670667
2401	395469	350016	745485
2501	308083	276601	584684
2601	317519	326126	643645
2701	342905	328342	671247
2801	306076	326138	632214
2901	359444	297247	656691
