bin start	sense overlap	antisense overlap	total overlap
-3000	352983	315994	668977
-2900	280245	267222	547467
-2800	257516	293236	550752
-2700	308431	363795	672226
-2600	333155	310399	643554
-2500	325041	290821	615862
-2400	305758	331509	637267
-2300	357220	352368	709588
-2200	367965	383434	751399
-2100	284624	305084	589708
-2000	361383	301235	662618
-1900	370230	316099	686329
-1800	338123	319328	657451
-1700	353079	334540	687619
-1600	309976	286890	596866
-1500	358511	340729	699240
-1400	330193	308698	638891
-1300	347321	333635	680956
-1200	357562	352198	709760
-1100	367064	405966	773030
-1000	381225	369339	750564
-900	331037	329933	660970
-800	408929	390564	799493
-700	390704	357092	747796
-600	399931	425891	825822
-500	412734	346694	759428
-400	371812	403389	775201
-300	421447	443781	865228
-200	478426	413374	891800
-100	389175	300541	689716
0	324503	259935	584438
100	297532	288683	586215
200	258222	241467	499689
300	349414	296815	646229
400	271540	297700	569240
500	242289	260671	502960
600	282023	230800	512823
700	304303	235882	540185
800	239443	198406	437849
900	270874	214132	485006
1000	207599	180129	387728
1100	234091	216910	451001
1200	258848	226226	485074
1300	260900	209631	470531
1400	275063	260752	535815
1500	265088	217792	482880
1600	270022	267649	537671
1700	230111	251129	481240
1800	279135	282298	561433
1900	351079	246030	597109
