bin start	sense overlap	antisense overlap	total overlap
-1999	243435	241082	484517
-1899	249655	254735	504390
-1799	240702	235300	476002
-1699	219419	281645	501064
-1599	238220	236557	474777
-1499	247732	207504	455236
-1399	225210	180856	406066
-1299	206809	228308	435117
-1199	261829	261272	523101
-1099	265909	284234	550143
-999	295913	277100	573013
-899	310796	209690	520486
-799	356925	284542	641467
-699	263898	195077	458975
-599	265575	241513	507088
-499	289643	337122	626765
-399	356491	255938	612429
-299	280127	239125	519252
-199	302363	282677	585040
-99	368227	276530	644757
1	282610	258594	541204
101	260106	262726	522832
201	332815	290933	623748
301	345177	310409	655586
401	377870	279814	657684
501	353310	324210	677520
601	309675	316685	626360
701	374110	404601	778711
801	414701	419604	834305
901	467295	362416	829711
1001	427977	376806	804783
1101	317170	342605	659775
1201	310248	288441	598689
1301	266722	248519	515241
1401	306887	267556	574443
1501	304848	273625	578473
1601	313977	299880	613857
1701	274197	292714	566911
1801	293706	271795	565501
1901	323902	316852	640754
2001	375346	311098	686444
2101	291914	341474	633388
2201	318512	300398	618910
2301	331209	303681	634890
2401	374379	349207	723586
2501	295065	265359	560424
2601	309249	310349	619598
2701	330275	319293	649568
2801	295368	308083	603451
2901	350099	282802	632901
