bin start	sense overlap	antisense overlap	total overlap
-3000	337437	305615	643052
-2900	267999	257421	525420
-2800	244600	283246	527846
-2700	295928	347708	643636
-2600	323538	300181	623719
-2500	315912	275956	591868
-2400	295862	323200	619062
-2300	350086	345166	695252
-2200	350606	362708	713314
-2100	271582	295297	566879
-2000	350302	294892	645194
-1900	357563	303436	660999
-1800	323926	305859	629785
-1700	345022	323120	668142
-1600	302718	281312	584030
-1500	341810	327882	669692
-1400	322734	294159	616893
-1300	341603	326762	668365
-1200	351462	334030	685492
-1100	350199	390887	741086
-1000	363971	348752	712723
-900	319076	314806	633882
-800	391699	377467	769166
-700	375477	348995	724472
-600	387918	404964	792882
-500	395913	343183	739096
-400	356002	383150	739152
-300	401767	430807	832574
-200	461946	395375	857321
-100	391249	292238	683487
0	316568	257159	573727
100	286894	282264	569158
200	248737	229283	478020
300	335711	284797	620508
400	262078	286846	548924
500	237321	245783	483104
600	270699	217766	488465
700	292257	230277	522534
800	229503	190317	419820
900	262637	208913	471550
1000	195886	171553	367439
1100	223202	207914	431116
1200	249270	213188	462458
1300	251752	208263	460015
1400	258823	248930	507753
1500	253633	208471	462104
1600	254612	259359	513971
1700	220458	241366	461824
1800	270029	273828	543857
1900	341811	234775	576586
