bin start	sense overlap	antisense overlap	total overlap
-1999	210950	190947	401897
-1899	202593	185550	388143
-1799	205075	188817	393892
-1699	210036	189562	399598
-1599	219002	183797	402799
-1499	236613	174564	411177
-1399	192205	173163	365368
-1299	205958	170197	376155
-1199	224816	176465	401281
-1099	212711	170455	383166
-999	207006	166664	373670
-899	188898	158107	347005
-799	180302	131263	311565
-699	161931	127149	289080
-599	149658	114351	264009
-499	133339	105799	239138
-399	125605	99250	224855
-299	127303	107478	234781
-199	134463	109754	244217
-99	160455	140663	301118
1	226593	230576	457169
101	306260	301009	607269
201	311477	311773	623250
301	333409	323059	656468
401	322354	315721	638075
501	325176	308278	633454
601	323338	319521	642859
701	322729	307173	629902
801	308300	297693	605993
901	286215	278717	564932
1001	271185	257170	528355
1101	280858	270532	551390
1201	266874	247792	514666
1301	260496	258525	519021
1401	271406	256704	528110
1501	246949	239731	486680
1601	232815	239295	472110
1701	241089	230522	471611
1801	225743	228990	454733
1901	222722	224676	447398
2001	235600	229316	464916
2101	221193	216251	437444
2201	226257	220209	446466
2301	218363	215280	433643
2401	209056	200676	409732
2501	206157	205319	411476
2601	199956	187263	387219
2701	203990	195973	399963
2801	201659	191433	393092
2901	187863	174939	362802
