bin start	sense overlap	antisense overlap	total overlap
-3000	219441	230291	449732
-2900	229412	217900	447312
-2800	216516	208038	424554
-2700	227989	215875	443864
-2600	227058	222035	449093
-2500	233736	226344	460080
-2400	254144	227131	481275
-2300	247478	236378	483856
-2200	252425	234605	487030
-2100	239699	236623	476322
-2000	271572	250265	521837
-1900	269152	251895	521047
-1800	270556	271653	542209
-1700	271360	278583	549943
-1600	299313	288800	588113
-1500	291653	297846	589499
-1400	284401	272072	556473
-1300	302013	304219	606232
-1200	318842	301691	620533
-1100	325124	316342	641466
-1000	343470	324580	668050
-900	359629	344609	704238
-800	370862	363967	734829
-700	427403	402457	829860
-600	458174	439407	897581
-500	534955	489624	1024579
-400	562840	525525	1088365
-300	595557	501777	1097334
-200	530604	414087	944691
-100	237316	163619	400935
0	99665	68943	168608
100	90255	69979	160234
200	99783	79013	178796
300	118555	94932	213487
400	127371	113637	241008
500	155678	148701	304379
600	163862	156016	319878
700	230811	157289	388100
800	196584	175092	371676
900	195854	170701	366555
1000	205420	183764	389184
1100	200689	183002	383691
1200	202633	175341	377974
1300	208487	171677	380164
1400	188289	180299	368588
1500	193810	169348	363158
1600	205776	181250	387026
1700	191958	183082	375040
1800	219487	175419	394906
1900	201917	179775	381692
