bin start	sense overlap	antisense overlap	total overlap
-1999	44472	40024	84496
-1899	52344	42869	95213
-1799	42595	38282	80877
-1699	37259	37329	74588
-1599	50411	38170	88581
-1499	41947	38168	80115
-1399	42867	35655	78522
-1299	42177	34639	76816
-1199	50103	35335	85438
-1099	42443	42089	84532
-999	41851	35965	77816
-899	44877	32206	77083
-799	60328	44511	104839
-699	51364	41396	92760
-599	49566	44744	94310
-499	48430	43791	92221
-399	54723	44031	98754
-299	55103	38641	93744
-199	58262	49593	107855
-99	79657	57210	136867
1	56942	38459	95401
101	55192	41472	96664
201	48863	45922	94785
301	54861	45024	99885
401	58569	46012	104581
501	54074	50638	104712
601	51701	49380	101081
701	61825	54937	116762
801	61240	58249	119489
901	64370	57352	121722
1001	62473	60935	123408
1101	60290	54123	114413
1201	56919	53955	110874
1301	50932	50038	100970
1401	51094	61306	112400
1501	50378	59230	109608
1601	50415	53065	103480
1701	50011	55190	105201
1801	53722	52155	105877
1901	52495	78568	131063
2001	54896	65229	120125
2101	50566	61573	112139
2201	53224	58410	111634
2301	51660	60658	112318
2401	53016	55688	108704
2501	53569	46660	100229
2601	49960	53375	103335
2701	50972	50746	101718
2801	48061	48101	96162
2901	54625	50773	105398
