bin start	sense overlap	antisense overlap	total overlap
-3000	58090	56099	114189
-2900	56217	52321	108538
-2800	53182	54486	107668
-2700	54700	55759	110459
-2600	55250	54682	109932
-2500	65921	54238	120159
-2400	62716	53295	116011
-2300	61549	65100	126649
-2200	64250	59854	124104
-2100	56066	57047	113113
-2000	63433	59271	122704
-1900	71940	58288	130228
-1800	62815	59350	122165
-1700	72062	58398	130460
-1600	61699	58965	120664
-1500	60582	71760	132342
-1400	66937	63158	130095
-1300	71780	59816	131596
-1200	68835	60928	129763
-1100	65635	60591	126226
-1000	69182	61871	131053
-900	59774	60157	119931
-800	60580	58636	119216
-700	59475	58519	117994
-600	66598	57908	124506
-500	69729	53062	122791
-400	60183	57043	117226
-300	58799	58426	117225
-200	62880	57344	120224
-100	62905	51438	114343
0	82545	48850	131395
100	64455	51230	115685
200	64065	46014	110079
300	52554	43777	96331
400	44732	40988	85720
500	46619	42433	89052
600	47309	40277	87586
700	49033	35815	84848
800	41834	33020	74854
900	41470	34700	76170
1000	39928	29436	69364
1100	38414	36123	74537
1200	47362	31983	79345
1300	43485	33568	77053
1400	63840	39413	103253
1500	47530	42752	90282
1600	48923	38764	87687
1700	38616	37491	76107
1800	47022	36257	83279
1900	50579	36705	87284
