bin start	sense overlap	antisense overlap	total overlap
-1999	53368	50055	103423
-1899	57361	46304	103665
-1799	46961	43875	90836
-1699	44604	42848	87452
-1599	54738	41589	96327
-1499	53450	41585	95035
-1399	47828	40808	88636
-1299	44205	38417	82622
-1199	55676	41312	96988
-1099	50612	46288	96900
-999	53519	43863	97382
-899	53506	39831	93337
-799	67006	48073	115079
-699	57283	47215	104498
-599	55502	50462	105964
-499	55661	51043	106704
-399	59472	46443	105915
-299	59731	43917	103648
-199	63010	52516	115526
-99	84237	59330	143567
1	64303	43345	107648
101	64689	44721	109410
201	55843	50337	106180
301	62068	52570	114638
401	65403	53718	119121
501	61693	57266	118959
601	59013	61241	120254
701	70941	63506	134447
801	74550	64800	139350
901	77690	62964	140654
1001	71399	63579	134978
1101	66556	60613	127169
1201	62460	60801	123261
1301	54546	58125	112671
1401	61438	68415	129853
1501	61020	62351	123371
1601	57397	62440	119837
1701	55682	60099	115781
1801	57862	57968	115830
1901	60031	82871	142902
2001	63918	76754	140672
2101	54775	70660	125435
2201	60325	68354	128679
2301	62947	64678	127625
2401	63716	65163	128879
2501	59185	53662	112847
2601	58694	60272	118966
2701	56185	57356	113541
2801	56308	56250	112558
2901	60374	55868	116242
