bin start	sense overlap	antisense overlap	total overlap
-3000	63973	61477	125450
-2900	63519	60777	124296
-2800	60394	60852	121246
-2700	58308	63315	121623
-2600	63923	62214	126137
-2500	72291	60751	133042
-2400	71503	64994	136497
-2300	65246	75761	141007
-2200	65909	70348	136257
-2100	66135	62061	128196
-2000	70736	65242	135978
-1900	81334	65550	146884
-1800	70121	68032	138153
-1700	83935	66935	150870
-1600	70943	67484	138427
-1500	72662	80175	152837
-1400	74777	69553	144330
-1300	79681	68584	148265
-1200	77842	64201	142043
-1100	71598	70106	141704
-1000	75182	69525	144707
-900	67840	68103	135943
-800	70648	68723	139371
-700	72056	64393	136449
-600	78876	69612	148488
-500	77511	59932	137443
-400	66562	66196	132758
-300	72037	66037	138074
-200	71110	66157	137267
-100	69172	56277	125449
0	94325	54128	148453
100	71431	53086	124517
200	68528	47046	115574
300	60614	48831	109445
400	51488	41784	93272
500	51335	42278	93613
600	55894	48355	104249
700	56693	39414	96107
800	45680	38219	83899
900	48409	35984	84393
1000	42682	33519	76201
1100	42985	44187	87172
1200	49631	38313	87944
1300	52467	41892	94359
1400	72012	44034	116046
1500	50817	46717	97534
1600	56241	46114	102355
1700	43906	43443	87349
1800	53140	41906	95046
1900	56027	41200	97227
