bin start	sense overlap	antisense overlap	total overlap
-1999	2615	541	3156
-1899	2086	352	2438
-1799	1260	505	1765
-1699	4027	536	4563
-1599	3286	1654	4940
-1499	1015	708	1723
-1399	1649	1452	3101
-1299	3313	807	4120
-1199	3292	2126	5418
-1099	3764	948	4712
-999	2191	1124	3315
-899	4455	989	5444
-799	3099	1093	4192
-699	5302	359	5661
-599	1791	352	2143
-499	2733	1344	4077
-399	3807	1367	5174
-299	3167	623	3790
-199	4136	921	5057
-99	2529	1084	3613
1	5242	938	6180
101	1491	1017	2508
201	1602	1441	3043
301	4238	2267	6505
401	4428	1953	6381
501	6882	2914	9796
601	3960	3461	7421
701	3488	3586	7074
801	4856	3564	8420
901	5625	2472	8097
1001	5848	4719	10567
1101	5139	4897	10036
1201	5281	4209	9490
1301	5392	5067	10459
1401	1968	2661	4629
1501	3421	2683	6104
1601	3669	3116	6785
1701	2541	3047	5588
1801	2711	1825	4536
1901	4230	4368	8598
2001	4046	2845	6891
2101	3451	2954	6405
2201	3651	2313	5964
2301	4296	2741	7037
2401	3626	3032	6658
2501	3816	3157	6973
2601	3605	2625	6230
2701	3494	2818	6312
2801	3190	2154	5344
2901	3426	2190	5616
