bin start	sense overlap	antisense overlap	total overlap
-3000	4005	3614	7619
-2900	2619	5478	8097
-2800	5510	4533	10043
-2700	4252	2374	6626
-2600	2761	3848	6609
-2500	2554	4726	7280
-2400	3387	4437	7824
-2300	4321	5182	9503
-2200	2695	4186	6881
-2100	1820	2743	4563
-2000	1595	3314	4909
-1900	6758	4810	11568
-1800	3190	5594	8784
-1700	5827	4022	9849
-1600	5410	3164	8574
-1500	4265	3810	8075
-1400	5155	3597	8752
-1300	4091	3572	7663
-1200	6737	2760	9497
-1100	3429	3607	7036
-1000	4380	6818	11198
-900	3228	6848	10076
-800	4834	3502	8336
-700	4186	4512	8698
-600	2925	4871	7796
-500	5438	3109	8547
-400	3024	5032	8056
-300	3516	1574	5090
-200	3188	3139	6327
-100	3457	630	4087
0	3972	351	4323
100	4438	1865	6303
200	2444	437	2881
300	2108	677	2785
400	2601	1104	3705
500	2318	1062	3380
600	2722	3503	6225
700	2970	1729	4699
800	2602	527	3129
900	2088	440	2528
1000	1523	1618	3141
1100	2570	905	3475
1200	3541	473	4014
1300	5538	1094	6632
1400	8009	633	8642
1500	4599	703	5302
1600	3176	675	3851
1700	4476	946	5422
1800	3531	901	4432
1900	4547	1007	5554
