bin start	sense overlap	antisense overlap	total overlap
-1999	3093	1556	4649
-1899	4487	1055	5542
-1799	2291	538	2829
-1699	1407	941	2348
-1599	5890	968	6858
-1499	2664	2948	5612
-1399	2851	2764	5615
-1299	5428	319	5747
-1199	3770	3038	6808
-1099	3472	2662	6134
-999	4866	620	5486
-899	4776	760	5536
-799	6995	935	7930
-699	6957	145	7102
-599	5232	2072	7304
-499	5587	1082	6669
-399	5544	120	5664
-299	8122	630	8752
-199	2744	1145	3889
-99	2616	759	3375
1	4731	734	5465
101	7634	1057	8691
201	3376	2003	5379
301	5149	1044	6193
401	5538	2159	7697
501	9460	4430	13890
601	5829	3506	9335
701	4914	4869	9783
801	7946	4736	12682
901	6831	4201	11032
1001	5321	4138	9459
1101	3140	3251	6391
1201	6535	1553	8088
1301	5240	2920	8160
1401	3975	2657	6632
1501	3812	3346	7158
1601	5332	4919	10251
1701	8982	4258	13240
1801	4815	2426	7241
1901	3769	1809	5578
2001	4617	2302	6919
2101	3774	4235	8009
2201	6182	3816	9998
2301	3844	3252	7096
2401	4230	2994	7224
2501	6841	4729	11570
2601	4305	6178	10483
2701	5889	3151	9040
2801	3509	4743	8252
2901	6066	2567	8633
