bin start	sense overlap	antisense overlap	total overlap
-3000	3068	5976	9044
-2900	4652	3375	8027
-2800	4398	3087	7485
-2700	5452	4173	9625
-2600	2423	5800	8223
-2500	3371	2421	5792
-2400	3376	6110	9486
-2300	3643	8344	11987
-2200	5749	5676	11425
-2100	5113	4414	9527
-2000	8320	4035	12355
-1900	11483	3834	15317
-1800	6545	3985	10530
-1700	7739	4515	12254
-1600	2809	5263	8072
-1500	4809	4868	9677
-1400	5692	5643	11335
-1300	8598	1931	10529
-1200	5774	4455	10229
-1100	7230	1766	8996
-1000	6193	4675	10868
-900	4582	4012	8594
-800	7017	3469	10486
-700	7281	4921	12202
-600	6474	3175	9649
-500	3869	3230	7099
-400	4831	6525	11356
-300	5416	1759	7175
-200	4413	3397	7810
-100	2606	823	3429
0	8102	755	8857
100	9774	1660	11434
200	5514	1029	6543
300	3617	288	3905
400	2184	988	3172
500	3523	1321	4844
600	5996	2314	8310
700	5389	913	6302
800	5286	318	5604
900	5877	277	6154
1000	2863	937	3800
1100	5197	545	5742
1200	4978	296	5274
1300	6519	1610	8129
1400	7037	1845	8882
1500	4910	735	5645
1600	6350	919	7269
1700	5750	404	6154
1800	9089	596	9685
1900	4730	418	5148
