bin start	sense overlap	antisense overlap	total overlap
-1999	5176	998	6174
-1899	3384	2288	5672
-1799	4858	1234	6092
-1699	5047	2876	7923
-1599	6049	633	6682
-1499	3784	2192	5976
-1399	3447	1464	4911
-1299	8652	1675	10327
-1199	5231	2240	7471
-1099	5513	3029	8542
-999	8066	1007	9073
-899	3385	1621	5006
-799	7349	898	8247
-699	6629	232	6861
-599	4488	1559	6047
-499	3049	152	3201
-399	3896	895	4791
-299	4067	943	5010
-199	4004	797	4801
-99	4856	978	5834
1	7445	342	7787
101	9263	2528	11791
201	3283	898	4181
301	6163	2870	9033
401	3382	4035	7417
501	7605	2476	10081
601	3579	1589	5168
701	7882	2935	10817
801	6319	2637	8956
901	3764	4175	7939
1001	2797	3677	6474
1101	6704	3862	10566
1201	4859	4341	9200
1301	2507	2137	4644
1401	4271	2611	6882
1501	3560	5336	8896
1601	3978	4312	8290
1701	6442	4820	11262
1801	8904	5171	14075
1901	5082	3241	8323
2001	7897	1606	9503
2101	3089	2464	5553
2201	3470	4488	7958
2301	3935	6319	10254
2401	8335	4132	12467
2501	6258	3409	9667
2601	7023	3852	10875
2701	3887	7112	10999
2801	3814	4291	8105
2901	8208	2720	10928
