bin start	sense overlap	antisense overlap	total overlap
-1999	6513	1727	8240
-1899	4327	930	5257
-1799	3654	3291	6945
-1699	6401	668	7069
-1599	12520	959	13479
-1499	5157	1699	6856
-1399	4953	1041	5994
-1299	3521	552	4073
-1199	3280	1854	5134
-1099	4200	1844	6044
-999	7105	480	7585
-899	5199	1256	6455
-799	5165	2175	7340
-699	7439	1027	8466
-599	4295	963	5258
-499	6356	1172	7528
-399	4500	878	5378
-299	6607	1767	8374
-199	5693	613	6306
-99	5442	588	6030
1	5685	1830	7515
101	6969	2861	9830
201	5426	1549	6975
301	5897	2417	8314
401	3353	2355	5708
501	11083	2548	13631
601	4598	4139	8737
701	9350	4608	13958
801	7993	6820	14813
901	7305	4022	11327
1001	7626	6129	13755
1101	6794	3631	10425
1201	7725	2985	10710
1301	4290	6786	11076
1401	6429	5171	11600
1501	5909	4688	10597
1601	10237	5749	15986
1701	7516	5386	12902
1801	4219	4082	8301
1901	8107	4231	12338
2001	8773	2956	11729
2101	4157	2905	7062
2201	8863	6199	15062
2301	7632	4141	11773
2401	7042	3436	10478
2501	9804	7010	16814
2601	4742	6633	11375
2701	7352	4474	11826
2801	4761	3242	8003
2901	6724	3556	10280
