bin start	sense overlap	antisense overlap	total overlap
-3000	9534	4561	14095
-2900	6988	5651	12639
-2800	4489	5612	10101
-2700	4167	8078	12245
-2600	4792	9595	14387
-2500	9632	6043	15675
-2400	16220	5438	21658
-2300	7709	6456	14165
-2200	9982	5171	15153
-2100	5388	4924	10312
-2000	9176	3051	12227
-1900	11322	4868	16190
-1800	6396	6611	13007
-1700	11203	3863	15066
-1600	3477	6602	10079
-1500	6463	6206	12669
-1400	6903	3923	10826
-1300	5930	4852	10782
-1200	10078	7373	17451
-1100	9161	5869	15030
-1000	7822	4575	12397
-900	6891	7433	14324
-800	9763	3543	13306
-700	8239	3945	12184
-600	4767	6623	11390
-500	8590	4175	12765
-400	10369	6516	16885
-300	6220	1378	7598
-200	5872	2411	8283
-100	3125	1726	4851
0	5811	247	6058
100	6112	862	6974
200	7468	2273	9741
300	3638	144	3782
400	2913	321	3234
500	1813	2045	3858
600	4630	2135	6765
700	2867	3108	5975
800	5718	2231	7949
900	6542	628	7170
1000	4032	973	5005
1100	6620	2008	8628
1200	5232	919	6151
1300	10986	2036	13022
1400	8924	3093	12017
1500	4008	1746	5754
1600	5703	612	6315
1700	5238	839	6077
1800	10301	1064	11365
1900	10650	2549	13199
