bin start	sense overlap	antisense overlap	total overlap
-3000	7219	4503	11722
-2900	6660	4888	11548
-2800	4356	5871	10227
-2700	6234	6700	12934
-2600	4037	10656	14693
-2500	6008	6594	12602
-2400	8941	4670	13611
-2300	6612	5214	11826
-2200	8095	4458	12553
-2100	4652	4548	9200
-2000	9456	5962	15418
-1900	5943	3104	9047
-1800	7092	4961	12053
-1700	9872	7543	17415
-1600	4482	6686	11168
-1500	4301	5006	9307
-1400	6346	4242	10588
-1300	6933	2662	9595
-1200	9613	5372	14985
-1100	4542	4715	9257
-1000	3859	5158	9017
-900	4849	9247	14096
-800	5667	7879	13546
-700	5392	4344	9736
-600	8865	6482	15347
-500	6077	6498	12575
-400	6828	5104	11932
-300	6163	3913	10076
-200	4452	3085	7537
-100	2425	2143	4568
0	5805	566	6371
100	8548	1646	10194
200	2921	2102	5023
300	4052	836	4888
400	3673	292	3965
500	4142	730	4872
600	4466	2878	7344
700	2669	2062	4731
800	4579	965	5544
900	5059	778	5837
1000	5066	645	5711
1100	3266	364	3630
1200	8978	254	9232
1300	9157	2142	11299
1400	7442	2773	10215
1500	4186	931	5117
1600	4816	1143	5959
1700	3184	1003	4187
1800	6660	2376	9036
1900	13055	2723	15778
