bin start	sense overlap	antisense overlap	total overlap
-1999	59986	48139	108125
-1899	58891	55046	113937
-1799	49451	46251	95702
-1699	51530	43345	94875
-1599	93795	45230	139025
-1499	60474	49861	110335
-1399	59162	43078	102240
-1299	57210	38217	95427
-1199	58172	39468	97640
-1099	63580	40220	103800
-999	48596	29156	77752
-899	51064	35177	86241
-799	36936	30662	67598
-699	35381	27975	63356
-599	30952	24984	55936
-499	24729	20058	44787
-399	20182	17596	37778
-299	26216	30564	56780
-199	32977	29418	62395
-99	41540	38528	80068
1	79104	74381	153485
101	120085	116600	236685
201	155582	152420	308002
301	173497	174789	348286
401	182174	187080	369254
501	197848	184102	381950
601	203598	208520	412118
701	195600	187067	382667
801	197695	188381	386076
901	189231	182146	371377
1001	163835	172390	336225
1101	160746	157477	318223
1201	154944	136225	291169
1301	167971	162710	330681
1401	170375	158827	329202
1501	156861	148195	305056
1601	148329	145825	294154
1701	155998	139861	295859
1801	140883	145784	286667
1901	133365	141364	274729
2001	148327	156102	304429
2101	139946	131145	271091
2201	140133	137539	277672
2301	136095	131142	267237
2401	137232	132554	269786
2501	144829	134543	279372
2601	146667	128755	275422
2701	153982	136595	290577
2801	129874	131545	261419
2901	127209	117800	245009
