bin start	sense overlap	antisense overlap	total overlap
-3000	81112	88512	169624
-2900	84493	82303	166796
-2800	85525	89748	175273
-2700	84337	88698	173035
-2600	77094	76864	153958
-2500	89954	89661	179615
-2400	114907	86085	200992
-2300	96609	94227	190836
-2200	97449	95510	192959
-2100	97507	100261	197768
-2000	104839	102967	207806
-1900	108930	106293	215223
-1800	112289	109668	221957
-1700	102424	99624	202048
-1600	112602	113532	226134
-1500	107527	105083	212610
-1400	117659	117952	235611
-1300	116049	112800	228849
-1200	113025	106218	219243
-1100	112350	112855	225205
-1000	123865	124043	247908
-900	144371	137357	281728
-800	151249	145483	296732
-700	177788	168040	345828
-600	197069	181695	378764
-500	203097	188133	391230
-400	247667	215054	462721
-300	274233	203881	478114
-200	302284	191502	493786
-100	88344	61517	149861
0	13720	12074	25794
100	15780	6256	22036
200	9496	9402	18898
300	15890	11809	27699
400	14154	14029	28183
500	20670	16861	37531
600	22657	17234	39891
700	22648	22721	45369
800	34651	24993	59644
900	32787	25945	58732
1000	32621	28899	61520
1100	32612	28307	60919
1200	36457	25080	61537
1300	56741	26792	83533
1400	33622	28316	61938
1500	26898	25444	52342
1600	33672	22038	55710
1700	29152	31277	60429
1800	58619	27472	86091
1900	31966	23225	55191
