bin start	sense overlap	antisense overlap	total overlap
-1999	20254	16992	37246
-1899	17711	19418	37129
-1799	18208	16821	35029
-1699	17674	14018	31692
-1599	20325	20091	40416
-1499	17328	25277	42605
-1399	16827	18294	35121
-1299	18251	16284	34535
-1199	16845	16194	33039
-1099	14156	16805	30961
-999	12965	11055	24020
-899	13401	11711	25112
-799	11145	12282	23427
-699	13207	12312	25519
-599	13285	10793	24078
-499	10170	9771	19941
-399	12323	11555	23878
-299	11271	21815	33086
-199	14660	13397	28057
-99	14484	13105	27589
1	29374	30343	59717
101	43852	39694	83546
201	49530	53833	103363
301	61828	60398	122226
401	65829	64362	130191
501	66949	67003	133952
601	67892	73068	140960
701	65849	69545	135394
801	70007	79865	149872
901	67962	67158	135120
1001	64486	57975	122461
1101	56575	67169	123744
1201	64597	55504	120101
1301	62346	63117	125463
1401	60454	55563	116017
1501	51490	54689	106179
1601	58813	61598	120411
1701	54578	54064	108642
1801	52694	53442	106136
1901	53726	45335	99061
2001	62040	56934	118974
2101	56731	47652	104383
2201	53806	51310	105116
2301	55622	57733	113355
2401	52396	55600	107996
2501	52671	42882	95553
2601	53320	48623	101943
2701	50500	45889	96389
2801	51205	54987	106192
2901	45178	47241	92419
