bin start	sense overlap	antisense overlap	total overlap
-3000	67645	56663	124308
-2900	56141	52869	109010
-2800	66588	56342	122930
-2700	65710	54459	120169
-2600	49974	54617	104591
-2500	57399	51752	109151
-2400	56234	53447	109681
-2300	63578	58576	122154
-2200	55308	64023	119331
-2100	55619	57454	113073
-2000	70042	61429	131471
-1900	73840	72038	145878
-1800	68491	189838	258329
-1700	66465	60179	126644
-1600	68863	74101	142964
-1500	62476	69314	131790
-1400	56382	72666	129048
-1300	60299	69447	129746
-1200	71297	67759	139056
-1100	76291	69944	146235
-1000	77690	70420	148110
-900	84165	79787	163952
-800	80345	87468	167813
-700	88461	95791	184252
-600	93061	103003	196064
-500	91992	95974	187966
-400	105308	111460	216768
-300	121072	111742	232814
-200	122108	113006	235114
-100	51627	40046	91673
0	10035	7992	18027
100	8103	5853	13956
200	7578	7309	14887
300	9147	13077	22224
400	10051	9152	19203
500	13223	11891	25114
600	12663	13228	25891
700	16360	13281	29641
800	22018	16729	38747
900	21760	14148	35908
1000	18076	17091	35167
1100	19809	17942	37751
1200	25625	20450	46075
1300	30073	22193	52266
1400	20946	20426	41372
1500	18441	20066	38507
1600	26435	18241	44676
1700	22289	24727	47016
1800	32877	19269	52146
1900	18052	29530	47582
