bin start	sense overlap	antisense overlap	total overlap
-1999	20011	14620	34631
-1899	17469	13801	31270
-1799	11671	8450	20121
-1699	12089	7457	19546
-1599	11287	8839	20126
-1499	10008	8212	18220
-1399	11328	10425	21753
-1299	13043	12769	25812
-1199	11129	16438	27567
-1099	14529	12450	26979
-999	28211	8740	36951
-899	27516	6993	34509
-799	15853	6484	22337
-699	16347	11106	27453
-599	19734	15294	35028
-499	33425	27482	60907
-399	35870	16114	51984
-299	31263	31660	62923
-199	25636	18578	44214
-99	18393	12246	30639
1	25792	19997	45789
101	28305	31392	59697
201	46876	39362	86238
301	52128	57804	109932
401	92620	49010	141630
501	83969	64747	148716
601	64631	57867	122498
701	47993	58176	106169
801	79813	68854	148667
901	64218	58666	122884
1001	61770	52929	114699
1101	70296	79026	149322
1201	83368	70472	153840
1301	43624	48194	91818
1401	57467	43110	100577
1501	48801	38988	87789
1601	38049	38999	77048
1701	34411	38316	72727
1801	32615	30540	63155
1901	47755	40741	88496
2001	97904	46794	144698
2101	46359	54349	100708
2201	47512	46443	93955
2301	55670	65637	121307
2401	88454	65142	153596
2501	58864	42033	100897
2601	66938	56090	123028
2701	61168	49153	110321
2801	78876	80295	159171
2901	88369	81249	169618
