bin start	sense overlap	antisense overlap	total overlap
-3000	43473	43734	87207
-2900	42679	40727	83406
-2800	39319	51087	90406
-2700	52310	56825	109135
-2600	45690	49400	95090
-2500	41798	38185	79983
-2400	42282	58459	100741
-2300	43613	50338	93951
-2200	40057	63448	103505
-2100	35393	39813	75206
-2000	48911	39584	88495
-1900	54009	56320	110329
-1800	56749	63342	120091
-1700	80084	61994	142078
-1600	44478	45662	90140
-1500	54500	67116	121616
-1400	51572	47306	98878
-1300	48053	45321	93374
-1200	55639	44208	99847
-1100	57195	65607	122802
-1000	43474	48505	91979
-900	50718	42717	93435
-800	52735	47701	100436
-700	49168	49626	98794
-600	61677	53460	115137
-500	45369	41164	86533
-400	48151	44464	92615
-300	51747	40230	91977
-200	58110	41900	100010
-100	14910	11655	26565
0	10191	4964	15155
100	8448	5271	13719
200	9603	7758	17361
300	12073	6150	18223
400	15645	12986	28631
500	14300	10014	24314
600	15126	11323	26449
700	11085	13329	24414
800	12488	9510	21998
900	9985	6338	16323
1000	10880	6686	17566
1100	7801	8624	16425
1200	9836	8518	18354
1300	30697	14034	44731
1400	30386	14009	44395
1500	31110	16545	47655
1600	19985	27525	47510
1700	15550	19270	34820
1800	21153	16070	37223
1900	25077	11188	36265
